days,capsules,dose,speed,hatch_ratio,juveniles
1,0.0,0,21.5,50.0,
1,0.0,0,21.5,50.0,
1,0.0,0,37.666666666666664,50.0,
1,0.0,0,2.3333333333333335,50.0,
1,0.0,0,12.612212384612297,50.0,
1,0.0,0,3.988331746915843,50.0,
1,0.0,0,35.33333333333333,50.0,
1,0.0,0,25.666666666666668,50.0,
1,0.0,0,25.27930964615829,50.0,
1,0.0,0,0.19379844961240317,50.0,
1,0.0,0,29.53333333333333,50.0,
1,0.0,0,21.5,50.0,
1,0.0,0,21.5,50.0,
1,0.0,0,37.666666666666664,50.0,
1,0.0,0,2.3333333333333335,50.0,
1,0.0,0,12.612212384612297,50.0,
1,0.0,0,3.988331746915843,50.0,
1,0.0,0,35.33333333333333,50.0,
1,0.0,0,25.666666666666668,50.0,
1,0.0,0,25.27930964615829,50.0,
1,0.0,0,0.19379844961240317,50.0,
1,0.0,0,29.53333333333333,50.0,
2,0.0,0,20.1,43.0,
2,0.0,0,20.1,43.0,
2,0.0,0,37.666666666666664,43.0,
2,0.0,0,5.0,43.0,
2,0.0,0,10.021027275400511,43.0,
2,0.0,0,3.1689270684937036,43.0,
2,0.0,0,32.666666666666664,43.0,
2,0.0,0,29.76666666666667,43.0,
2,0.0,0,39.86188159889668,43.0,
2,0.0,0,0.4809286898839138,43.0,
2,0.0,0,34.266666666666666,43.0,
2,0.0,0,20.1,43.0,
2,0.0,0,20.1,43.0,
2,0.0,0,37.666666666666664,43.0,
2,0.0,0,5.0,43.0,
2,0.0,0,10.021027275400511,43.0,
2,0.0,0,3.1689270684937036,43.0,
2,0.0,0,32.666666666666664,43.0,
2,0.0,0,29.76666666666667,43.0,
2,0.0,0,39.86188159889668,43.0,
2,0.0,0,0.4809286898839138,43.0,
2,0.0,0,34.266666666666666,43.0,
3,0.0,0,21.166666666666664,56.0,
3,0.0,0,21.166666666666664,56.0,
3,0.0,0,58.0,56.0,
3,0.0,0,10.0,56.0,
3,0.0,0,14.095135313510578,56.0,
3,0.0,0,4.4572731518964925,56.0,
3,0.0,0,48.0,56.0,
3,0.0,0,28.566666666666663,56.0,
3,0.0,0,49.95610430186353,56.0,
3,0.0,0,0.3496062992125984,56.0,
3,0.0,0,33.233333333333334,56.0,
3,0.5,0,21.166666666666664,56.0,
3,0.5,0,21.166666666666664,56.0,
3,0.5,0,58.0,56.0,
3,0.5,0,10.0,56.0,
3,0.5,0,14.095135313510578,56.0,
3,0.5,0,4.4572731518964925,56.0,
3,0.5,0,48.0,56.0,
3,0.5,0,28.566666666666663,56.0,
3,0.5,0,49.95610430186353,56.0,
3,0.5,0,0.3496062992125984,56.0,
3,0.5,0,33.233333333333334,56.0,
4,3.0,0,24.033333333333335,35.0,
4,3.0,0,24.033333333333335,35.0,
4,3.0,0,59.666666666666664,35.0,
4,3.0,0,0.3333333333333333,35.0,
4,3.0,0,17.079660851867484,35.0,
4,3.0,0,5.401062995511297,35.0,
4,3.0,0,59.33333333333333,35.0,
4,3.0,0,24.9,35.0,
4,3.0,0,33.009211938923606,35.0,
4,3.0,0,0.036061026352288354,35.0,
4,3.0,0,36.46666666666667,35.0,
4,1.7,0,24.033333333333335,35.0,
4,1.7,0,24.033333333333335,35.0,
4,1.7,0,59.666666666666664,35.0,
4,1.7,0,0.3333333333333333,35.0,
4,1.7,0,17.079660851867484,35.0,
4,1.7,0,5.401062995511297,35.0,
4,1.7,0,59.33333333333333,35.0,
4,1.7,0,24.9,35.0,
4,1.7,0,33.009211938923606,35.0,
4,1.7,0,0.036061026352288354,35.0,
4,1.7,0,36.46666666666667,35.0,
5,0.4,0,35.06666666666667,39.0,
5,0.4,0,35.06666666666667,39.0,
5,0.4,0,81.33333333333333,39.0,
5,0.4,0,1.6666666666666667,39.0,
5,0.4,0,24.774937555202783,39.0,
5,0.4,0,7.834523156288436,39.0,
5,0.4,0,79.66666666666666,39.0,
5,0.4,0,28.333333333333336,39.0,
5,0.4,0,50.87167895900085,39.0,
5,0.4,0,-0.1920152091254753,39.0,
5,0.4,0,23.166666666666664,39.0,
5,0.4,0,35.06666666666667,39.0,
5,0.4,0,35.06666666666667,39.0,
5,0.4,0,81.33333333333333,39.0,
5,0.4,0,1.6666666666666667,39.0,
5,0.4,0,24.774937555202783,39.0,
5,0.4,0,7.834523156288436,39.0,
5,0.4,0,79.66666666666666,39.0,
5,0.4,0,28.333333333333336,39.0,
5,0.4,0,50.87167895900085,39.0,
5,0.4,0,-0.1920152091254753,39.0,
5,0.4,0,23.166666666666664,39.0,
6,1.0,0,18.366666666666667,77.0,
6,1.0,0,18.366666666666667,77.0,
6,1.0,0,46.666666666666664,77.0,
6,1.0,0,0.6666666666666666,77.0,
6,1.0,0,17.38414915879718,77.0,
6,1.0,0,5.497350652589924,77.0,
6,1.0,0,46.0,77.0,
6,1.0,0,26.600000000000005,77.0,
6,1.0,0,76.6901822301331,77.0,
6,1.0,0,0.44827586206896575,77.0,
6,1.0,0,19.666666666666664,77.0,
6,1.1,0,18.366666666666667,77.0,
6,1.1,0,18.366666666666667,77.0,
6,1.1,0,46.666666666666664,77.0,
6,1.1,0,0.6666666666666666,77.0,
6,1.1,0,17.38414915879718,77.0,
6,1.1,0,5.497350652589924,77.0,
6,1.1,0,46.0,77.0,
6,1.1,0,26.600000000000005,77.0,
6,1.1,0,76.6901822301331,77.0,
6,1.1,0,0.44827586206896575,77.0,
6,1.1,0,19.666666666666664,77.0,
7,0.9,0,8.6,82.0,
7,0.9,0,8.6,82.0,
7,0.9,0,34.666666666666664,82.0,
7,0.9,0,1.0,82.0,
7,0.9,0,10.42527792210291,82.0,
7,0.9,0,3.2967623474112653,82.0,
7,0.9,0,33.666666666666664,82.0,
7,0.9,0,21.6,82.0,
7,0.9,0,89.12042604170493,82.0,
7,0.9,0,1.5116279069767444,82.0,
7,0.9,0,20.1,82.0,
7,0.5,0,8.6,82.0,
7,0.5,0,8.6,82.0,
7,0.5,0,34.666666666666664,82.0,
7,0.5,0,1.0,82.0,
7,0.5,0,10.42527792210291,82.0,
7,0.5,0,3.2967623474112653,82.0,
7,0.5,0,33.666666666666664,82.0,
7,0.5,0,21.6,82.0,
7,0.5,0,89.12042604170493,82.0,
7,0.5,0,1.5116279069767444,82.0,
7,0.5,0,20.1,82.0,
8,2.0,0,14.6,33.0,
8,2.0,0,14.6,33.0,
8,2.0,0,42.0,33.0,
8,2.0,0,1.6666666666666667,33.0,
8,2.0,0,12.448213714881264,33.0,
8,2.0,0,3.936470813957065,33.0,
8,2.0,0,40.333333333333336,33.0,
8,2.0,0,23.2,33.0,
8,2.0,0,81.39564724791711,33.0,
8,2.0,0,0.589041095890411,33.0,
8,2.0,0,13.933333333333334,33.0,
8,0.4,0,14.6,33.0,
8,0.4,0,14.6,33.0,
8,0.4,0,42.0,33.0,
8,0.4,0,1.6666666666666667,33.0,
8,0.4,0,12.448213714881264,33.0,
8,0.4,0,3.936470813957065,33.0,
8,0.4,0,40.333333333333336,33.0,
8,0.4,0,23.2,33.0,
8,0.4,0,81.39564724791711,33.0,
8,0.4,0,0.589041095890411,33.0,
8,0.4,0,13.933333333333334,33.0,
9,2.0,0,15.266666666666666,45.0,
9,2.0,0,15.266666666666666,45.0,
9,2.0,0,36.666666666666664,45.0,
9,2.0,0,1.3333333333333333,45.0,
9,2.0,0,10.856869020959572,45.0,
9,2.0,0,3.4332434364354594,45.0,
9,2.0,0,35.33333333333333,45.0,
9,2.0,0,23.8,45.0,
9,2.0,0,59.160477316649505,45.0,
9,2.0,0,0.5589519650655024,45.0,
9,2.0,0,14.4,45.0,
9,0.4,0,15.266666666666666,45.0,
9,0.4,0,15.266666666666666,45.0,
9,0.4,0,36.666666666666664,45.0,
9,0.4,0,1.3333333333333333,45.0,
9,0.4,0,10.856869020959572,45.0,
9,0.4,0,3.4332434364354594,45.0,
9,0.4,0,35.33333333333333,45.0,
9,0.4,0,23.8,45.0,
